nodeid,nodenm,gpslati,gpslong
CJB274000277,탑연삼거리,36.6238511,127.35771749
CJB274000278,한국교원대학교입구,36.60677784,127.35436374
CJB274000279,부영아파트.대원아파트,36.7378089,127.45199589
CJB274000280,풍정리,36.70511959,127.54090666
CJB274000281,미원면행정복지센터,36.63638104,127.65797181
CJB274000282,학평리,36.72718552,127.53943818
CJB274000283,원통리.와우키즈랜드,36.7091147,127.51582853
CJB274000284,부영사랑으로 5단지,36.73581625,127.44694331
CJB274000285,부영사랑으로 5단지,36.73528313,127.4467331
CJB274000286,비봉초등학교 넘어,36.71174604,127.4110725
CJB274000287,비봉초등학교 넘어,36.71184606,127.41081281
CJB274000288,오창호수도서관,36.71385803,127.42297028
CJB274000289,오창호수도서관,36.71355996,127.4237997
CJB274000290,삼성SDI.에코앤드림,36.70525347,127.40911021
CJB274000291,에코앤드림.삼성SDI,36.70511222,127.40891361
CJB274000292,미원면행정복지센터,36.6357605,127.6577485
CJB274000293,송암전원마을,36.59019236,127.52377736
CJB274000294,송암전원마을,36.59030967,127.52425308
CJB274000295,문의향교,36.51577315,127.49767365
CJB274000296,내수농협,36.72357761,127.54020212
CJB274000297,백현1리,36.72238947,127.36947412
CJB274000298,백현1리,36.72251033,127.36972936
CJB274000299,부강산업단지입구,36.50052039,127.36225867
CJB274000300,부강산업단지,36.49840358,127.36491921
CJB274000301,금호3리,36.50937651,127.36519955
CJB274000302,금호3리,36.50943594,127.36491797
CJB274000303,부강9리,36.51914428,127.36835756
CJB274000304,부강9리,36.51900053,127.36821732
CJB274000305,한화사원아파트,36.52607393,127.36841832
CJB274000306,한화사원아파트,36.52536724,127.36818887
CJB274000307,궁평교차로,36.6210654,127.34044116
CJB274000308,궁평교차로,36.62104192,127.3399827
CJB274000309,문동리,36.54587657,127.48381405
CJB274000310,효촌리,36.5886077,127.51153903
CJB274000311,양청리(대운프라자),36.7121364,127.43002601
CJB274000312,오창농협,36.71223484,127.42959006
CJB275000001,눌곡리앞,36.48361982,127.60037593
CJB275000002,송평리,36.4750646,127.60271527
CJB275000003,죽암1리,36.47246287,127.60024217
CJB275000004,죽암2리,36.4689325,127.59454128
CJB275000005,신대리,36.46607388,127.59173763
CJB275000006,용곡리,36.46485978,127.58915737
CJB275000007,오동,36.51892752,127.59051406
CJB275000008,오동리,36.51598224,127.59315045
CJB275000009,고석,36.51131381,127.59798541
CJB275000010,고석,36.50779746,127.5996605
CJB275000011,고석,36.50794983,127.5994925
CJB275000012,회인중학교,36.49446632,127.59721461
CJB275000013,회인중학교,36.49446712,127.59708806
CJB275000014,용곡리,36.46487722,127.58900873
CJB275000015,신대리,36.46620763,127.59202099
CJB275000016,죽암2리,36.46892276,127.59440063
CJB275000017,죽암1리,36.47262042,127.60026549
CJB275000018,송평리,36.47507465,127.60257932
CJB275000019,눌곡리앞,36.48378912,127.60022636
CJB275000020,회인,36.49049226,127.59750966
CJB275000021,회인,36.49052291,127.59762558
CJB275000022,용촌리,36.50036071,127.59706132
CJB275000023,용촌리,36.50005041,127.59685399
CJB275000024,고석,36.51126731,127.59785611
CJB275000025,오동리,36.51588006,127.5930982
CJB275000026,오동,36.51877524,127.59055305
CJB275000027,용촌리,36.4955808,127.59636096
CJB275000028,용촌리,36.49560859,127.59646789
CJB275000029,중앙리,36.4931099,127.59773368
CJB275000030,중앙리,36.49311934,127.59762027
CJB275000031,신추리,36.46160482,127.58946745
CJB275000032,금곡리,36.45745257,127.58939296
CJB275000033,조곡2리,36.44948255,127.58438025
CJB275000034,조곡1리,36.44809581,127.58240353
CJB275000035,조곡1리,36.44823565,127.58241676
CJB275000036,회남,36.4452818,127.58016396
CJB275000037,조곡2리,36.44956655,127.58430079
CJB275000038,금곡리,36.45730252,127.58925155
CJB275000039,신추리,36.4616308,127.58925313
CJB275000040,회남,36.44535395,127.5800638
CJB278000001,남하리,36.76364119,127.60558075
CJB278000003,남하2리.둔덕,36.76801242,127.60296244
CJB278000004,한국교통대 증평캠퍼스 앞,36.7675234,127.6225329
CJB278000005,용강1리.내룡.증평군농업기술센터,36.77399761,127.60776041
CJB278000006,증천리,36.77935145,127.59547492
CJB278000007,초중리.한라비발디아파트,36.77407195,127.56810294
CJB278000008,초중리.한라비발디아파트,36.77425455,127.56807629
CJB278000009,초중리.한삼인,36.77528528,127.57044232
CJB278000010,초중리(증안),36.77713242,127.57402143
CJB278000011,초중리.택지개발,36.77728657,127.57393131
CJB278000012,증평여자중학교,36.77912371,127.57677417
CJB278000013,증평여자중학교,36.77942571,127.57674843
CJB278000014,증평군수도사업소,36.78159569,127.57848425
CJB278000015,증평군수도사업소,36.78192873,127.57902447
CJB278000016,증평우체국.증평군청,36.78432143,127.58173673
CJB413000265,봉대리,36.68333545,127.26527888
CJB413000266,봉대리,36.68333805,127.26512225
CJB413000267,세종시공원묘원,36.69260787,127.27234057
CJB413000268,세종시공원묘원,36.6927117,127.27225422
CJB413000269,깊은내길,36.64651641,127.26878419
CJB413000270,깊은내길,36.64645302,127.26892376
CJB413000271,보덕2리마을회관,36.64403657,127.25732187
CJB413000272,청람1리마을회관,36.65491513,127.23344084
CJB413000273,청람1리마을회관,36.65474855,127.23337882
CJB413000274,청람리,36.65184801,127.23280809
CJB413000275,청람리,36.65161366,127.23283814
CJB413000276,청람리(동막골),36.64435271,127.23171759
CJB413000277,청람리(동막골),36.64437957,127.23180713
CJB413000278,내판2리,36.55193908,127.32586344
CJB413000279,내판2리,36.5516679,127.32616945
CJB413000280,반곡동(수루배마을),36.49753354,127.31098598
CJB413000281,반곡동(수루배마을),36.49773066,127.31228428
CJB413000282,집현동,36.49787622,127.32193675
CJB413000283,집현동,36.498151,127.32279732
CJB413000284,산학연클러스터,36.50079889,127.32830275
CJB413000285,산학연클러스터,36.50173919,127.32881459
CJB413000286,반곡고등학교,36.49773603,127.31623267
CJB413000287,반곡고등학교,36.49745261,127.31606688
CJB413000288,연기리,36.55228196,127.27761354
CJB413000289,연기리,36.55317964,127.27813613
CJB270000542,수산1리,36.65485661,127.64779309
CJB270000543,내산2리(샘골),36.65241447,127.64998572
CJB270000544,내산리,36.64672778,127.65629537
CJB270000545,화창리(숫골),36.66425123,127.60904752
CJB270000546,화창리(숫골),36.66416784,127.60932172
CJB270000547,화창리(아래숫골),36.66208584,127.61315491
CJB270000548,화창리(아래숫골),36.6621664,127.61326258
CJB270000549,기암2리,36.67016882,127.62901683
CJB270000550,미원3리,36.62465263,127.65904808
CJB270000551,미원3리,36.62464231,127.65892313
CJB270000552,운동초등학교,36.60497976,127.5118958
CJB270000553,운동초등학교,36.60485032,127.51160994
CJB270000554,차고지,36.61083807,127.53776604
CJB270000555,차고지,36.61071252,127.53763104
CJB270000556,가중2리(버스종점),36.57251171,127.47095064
CJB270000557,현암1리,36.65517711,127.56091762
CJB270000558,현암1리,36.65502346,127.56101437
CJB270000559,한계리종점,36.6078763,127.56298079
CJB270000560,양절,36.57986227,127.39544759
CJB270000561,양절,36.57977855,127.3955589
CJB270000562,상발리,36.58748286,127.40308501
CJB270000563,상발리,36.58706749,127.40066362
CJB270000564,상발리,36.58695205,127.40082505
CJB270000565,월오수변공원,36.6284593,127.54724066
CJB270000566,용정축구공원,36.63346434,127.5166236
CJB270000567,용정축구공원,36.63332178,127.51624809
CJB270000568,용암서희스타힐스아파트,36.61198391,127.49912393
CJB270000569,용암서희스타힐스아파트,36.61179675,127.49916744
CJB270000570,오송역북문,36.6239081,127.32607668
CJB270000571,오송역북문,36.6236111,127.32594128
CJB270000572,오송역북문삼거리,36.62254985,127.32764446
CJB270000573,오송역북문삼거리,36.62245144,127.32738133
CJB270000574,연제리지하차도앞,36.62323654,127.3294333
CJB270000575,국립현대미술관,36.65491636,127.48869221
CJB270000576,현암리(검배마을),36.65463149,127.5600525
CJB270000577,현암리입구,36.65358067,127.55738874
CJB270000578,강내초등학교,36.59807039,127.35745036
CJB270000579,강내초등학교,36.59806849,127.35733301
CJB270000580,다락리마을회관,36.6003544,127.35757825
CJB270000581,다락리마을회관,36.6002942,127.35736842
CJB270000583,충북경제자유구역청,36.63506121,127.32796578
CJB270000584,충북경제자유구역청,36.63527345,127.32779616
CJB270000585,충북창조경제혁신센터,36.63544844,127.32559699
CJB270000586,충북대약학대학,36.63587841,127.32488878
CJB270000587,모과공원,36.63843907,127.31767335
CJB270000588,모과공원,36.63792055,127.31865241
CJB270000589,오송베스티안병원,36.63616018,127.32234061
